date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-04-01,1175,142,1413,584,9265,7621,3557,368,586,6956,4638,224,566,6980,2564,547,485,632,6424,303,1986,11263,9717,689,1073,1924,208,210,1279,367,22255,327,90377,1855,159,2547,721,736,5950,286,566,1293,129,2625,3533,888,321,1483,5608,191,1556,130
2020-04-02,1371,150,1596,643,10764,7982,3824,393,653,9008,5348,256,776,7695,3038,614,553,770,9149,376,2331,12542,11230,742,1177,2140,241,246,1463,479,25590,373,100780,2093,173,2901,881,826,7083,316,645,1554,165,2895,4070,1086,338,1706,6389,216,1748,150
2020-04-03,1606,161,1769,704,12088,8422,4914,450,757,10268,5831,319,891,8904,3437,699,629,770,10297,432,2758,14028,13221,788,1358,2277,243,279,1514,479,29895,490,111455,2380,186,3312,990,899,8483,316,711,1700,187,3147,4570,1248,389,2012,6846,237,2012,162
2020-04-04,1727,172,2019,743,12834,8742,5276,593,902,11537,6160,351,1022,10357,3953,787,698,917,12496,456,3125,15191,14735,865,1455,2629,265,321,1742,540,34124,506,121705,2635,207,3739,1161,899,10192,452,806,1917,212,3348,5117,1428,461,2407,7247,282,2030,187
2020-04-05,1905,187,2269,837,14489,9037,5675,673,1002,12350,6647,371,1078,11259,4411,869,751,955,13010,470,3617,16172,16268,935,1638,2718,286,364,1855,621,37505,624,132700,2891,225,4043,1254,1068,11605,475,922,2049,240,3660,5404,1601,512,2640,7825,324,2320,197
2020-04-06,2079,193,2460,875,15999,9479,6906,783,1097,13324,7314,387,1101,12262,4956,946,849,955,14867,499,4045,18103,17820,986,1738,3147,299,417,1953,715,41090,686,142561,3153,237,4453,1329,1068,13104,513,1082,2232,288,3888,6142,1678,543,2878,8311,345,2449,210
2020-04-07,2308,215,2575,946,17096,9839,7781,928,1211,14545,8822,410,1170,13553,5510,1046,912,1149,16284,519,4371,20127,19644,1069,1915,3443,319,447,2124,715,44416,794,149974,3453,251,4782,1474,1132,14635,573,1229,2417,320,4194,6748,1739,575,3335,8692,412,2578,216
2020-04-08,2614,228,2726,1000,18576,10246,7781,1116,1440,15456,9901,410,1210,15078,5943,1145,1046,1149,17030,537,5529,21990,21076,1154,2003,3625,332,519,2259,747,47437,821,160185,3700,269,5148,1526,1181,16436,620,1450,2417,393,4399,7538,1848,605,3645,9276,483,2710,221
2020-04-09,2954,238,3018,1119,19536,10660,9784,1209,1523,16364,10566,442,1232,16422,6351,1270,1116,1341,18283,560,6185,23977,22297,1240,2260,3852,354,568,2456,819,51027,865,172256,3993,278,5512,1686,1321,18460,683,1727,2793,447,4678,8128,1856,628,4042,9639,514,2886,230
2020-04-10,3112,249,3112,1171,20752,11111,10538,1326,1660,17531,11485,442,1354,17887,6907,1388,1117,1693,19253,586,6968,26037,23279,1336,2469,4249,365,635,2722,819,54588,1081,183729,4230,293,5878,1794,1322,20303,725,1727,3067,536,4873,9063,2103,679,4509,10119,574,3068,239
